DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
10/9/2025,3630.9,3633.61,3634.42,3620.9,-0.07
9/9/2025,3633.61,3637.1,3674.75,3625.33,-0.06
8/9/2025,3635.84,3586.82,3646.6,3579.67,1.24
7/9/2025,3591.19,3592.07,3596.56,3586.95,0.12
5/9/2025,3586.81,3547,3600.33,3540.05,1.15
4/9/2025,3546.17,3560.57,3564.45,3511.19,-0.37
3/9/2025,3559.43,3535.69,3578.8,3526.26,0.73
2/9/2025,3533.73,3478.36,3540.64,3470.2,1.65
1/9/2025,3476.47,3448,3490.06,3436.8,0.83
29-08-2025,3448,3418.2,3454.08,3404.29,0.9
28-08-2025,3417.2,3394.18,3423.36,3384.46,0.58
27-08-2025,3397.42,3392.88,3398.94,3373.76,0.13
26-08-2025,3392.88,3366.78,3394.33,3351.26,0.77
25-08-2025,3366.79,3371.23,3376.47,3359.69,-0.16
22-08-2025,3372.11,3338.76,3379.01,3321.49,1
21-08-2025,3338.81,3347.38,3353.25,3325.27,-0.25
20-08-2025,3347.11,3315.46,3350.5,3311.46,0.95
19-08-2025,3315.46,3332.38,3345.46,3314.88,-0.45
18-08-2025,3330.55,3338,3358.5,3323.52,-0.15
15-08-2025,3335.39,3336.5,3349.02,3332.16,-0.03
14-08-2025,3336.5,3354.73,3374.97,3329.85,-0.54
13-08-2025,3354.73,3346.2,3370.9,3342.65,0.25
12/8/2025,3346.2,3342.64,3359.27,3331.03,0.04
11/8/2025,3344.83,3398.5,3405.1,3340.82,-1.59
8/8/2025,3398.78,3397.28,3408.83,3379.61,0.04
7/8/2025,3397.31,3366.11,3402.71,3364.77,0.84
6/8/2025,3369.04,3379.69,3385.47,3358.26,-0.36
5/8/2025,3381.27,3373.38,3390.62,3349.89,0.23
4/8/2025,3373.37,3365.1,3385.56,3345,0.31
1/8/2025,3362.88,3290.83,3363.55,3281.55,2.21
31-07-2025,3290.32,3275.91,3314.98,3273.77,0.46
30-07-2025,3275.25,3324.01,3334.21,3268.15,-1.55
29-07-2025,3326.84,3316.54,3334.21,3307.95,0.37
28-07-2025,3314.64,3335,3345.56,3301.66,-0.68
25-07-2025,3337.18,3369.29,3373.73,3325.05,-0.92
24-07-2025,3368.15,3387.79,3393.47,3351.4,-0.58
23-07-2025,3387.78,3431.26,3439.09,3381.45,-1.27
22-07-2025,3431.5,3395.81,3433.56,3383.29,1.05
21-07-2025,3395.8,3348.62,3401.85,3344.48,1.36
18-07-2025,3350.4,3338.76,3361.41,3331.75,0.34
17-07-2025,3338.95,3346.59,3352.5,3309.9,-0.23
16-07-2025,3346.58,3322.63,3377.5,3319.69,0.72
15-07-2025,3322.63,3343.8,3366.58,3320.27,-0.63
14-07-2025,3343.8,3355.91,3374.94,3341.1,-0.36
11/7/2025,3355.91,3325.63,3368.89,3321.37,0.99
10/7/2025,3323.07,3313.7,3330.47,3310.23,0.28
9/7/2025,3313.72,3298.73,3317.05,3282.8,0.39
8/7/2025,3300.7,3335.99,3345.94,3287.17,-1.05
7/7/2025,3335.61,3335.95,3343.29,3296.41,-0.03
4/7/2025,3336.64,3326.44,3345.15,3323.59,0.3
3/7/2025,3326.57,3357.36,3365.81,3311.7,-0.92
2/7/2025,3357.36,3338.36,3360.08,3327.6,0.54
1/7/2025,3339.21,3302.87,3358.09,3301.52,1.08
30-06-2025,3303.69,3272.65,3309.58,3247.86,0.9
27-06-2025,3274.25,3328.06,3328.88,3255.72,-1.62
26-06-2025,3328.06,3332.47,3350.47,3310.01,-0.13
25-06-2025,3332.46,3324.2,3337.23,3312,0.25
24-06-2025,3324.2,3368.79,3371.01,3295.38,-1.33
23-06-2025,3368.88,3367.17,3399.25,3347.25,0.02
20-06-2025,3368.23,3370.82,3374.63,3340.38,-0.07
19-06-2025,3370.75,3369.08,3388.07,3347.59,0.05
18-06-2025,3369.09,3390.4,3400.05,3362.54,-0.58
17-06-2025,3388.74,3383.2,3403.39,3366.25,0.16
16-06-2025,3383.2,3431.54,3451.62,3382.4,-1.44
13-06-2025,3432.64,3385.3,3447.02,3379.79,1.4
12/6/2025,3385.29,3357.24,3399.16,3338.64,0.94
11/6/2025,3353.84,3322.52,3360.82,3315.23,0.93
10/6/2025,3323.02,3328.58,3349.28,3301.92,-0.16
9/6/2025,3328.33,3311.51,3338.43,3293.7,0.55
6/6/2025,3310.17,3354.26,3375.74,3306.87,-1.31
5/6/2025,3354.16,3376.55,3403.55,3339.2,-0.66
4/6/2025,3376.54,3352.56,3384.84,3343.76,0.72
3/6/2025,3352.25,3379.99,3392.53,3333.08,-0.83
2/6/2025,3380.21,3289.8,3383.24,3289.41,2.76
30-05-2025,3289.4,3319.51,3322.95,3271.55,-0.83
29-05-2025,3317.02,3286.36,3330.94,3245.55,0.83
28-05-2025,3289.76,3300.7,3325.68,3276.31,-0.33
27-05-2025,3300.68,3344,3350.21,3285.7,-1.26
26-05-2025,3342.94,3354.3,3357.03,3323.91,-0.43
23-05-2025,3357.42,3297.15,3366.39,3287.24,1.89
22-05-2025,3295,3316.49,3345.62,3279.55,-0.6
21-05-2025,3314.99,3290.12,3325.14,3285.51,0.76
20-05-2025,3290.12,3229.85,3295.98,3204.4,1.87
19-05-2025,3229.85,3214.6,3249.91,3205.98,0.85
16-05-2025,3202.77,3239.11,3252.27,3154.32,-1.18
15-05-2025,3240.87,3178.06,3241.26,3120.52,1.95
14-05-2025,3178.75,3248.37,3257.39,3167.95,-2.15
13-05-2025,3248.47,3233.4,3265.44,3215.96,0.43
12/5/2025,3234.7,3324.98,3325.42,3207.67,-2.7
9/5/2025,3324.63,3305.51,3347.64,3274.94,0.58
8/5/2025,3305.52,3366.95,3414.96,3288.8,-1.77
7/5/2025,3365.21,3430.21,3438.59,3360.2,-1.89
6/5/2025,3430.21,3336.39,3435.17,3322.98,2.87
5/5/2025,3334.5,3240,3337.81,3237.81,2.89
2/5/2025,3240.88,3238.55,3269.49,3222.75,0
1/5/2025,3241,3288.55,3290.94,3202.09,-1.45
30-04-2025,3288.59,3316.92,3328.36,3267.09,-0.86
29-04-2025,3317.18,3341.67,3349.08,3299.23,-0.73
28-04-2025,3341.67,3328.4,3353.33,3267.81,0.67
25-04-2025,3319.45,3347.2,3371.15,3265.25,-0.89
24-04-2025,3349.1,3288.43,3367.59,3287.77,1.85
23-04-2025,3288.26,3382.55,3386.89,3260.5,-2.79
22-04-2025,3382.54,3421.57,3500.33,3366.74,-1.22
21-04-2025,3424.3,3334.41,3430.93,3327.82,2.91
17-04-2025,3327.54,3344.41,3358,3283.87,-0.47
16-04-2025,3343.22,3226.25,3345.19,3226.25,3.58
15-04-2025,3227.6,3210.21,3234.16,3209.36,0.57
14-04-2025,3209.28,3237.35,3245.84,3193.41,-0.83
11/4/2025,3236.21,3174.14,3245.69,3174.14,1.96
10/4/2025,3173.92,3083.75,3176.94,3071.03,2.98
9/4/2025,3082.18,2984.08,3099.87,2970.01,3.3
8/4/2025,2983.78,2983.39,3022.84,2974.45,0.04
7/4/2025,2982.54,3038.02,3055.88,2956.6,-1.8
4/4/2025,3037.36,3113.16,3137.1,3015.64,-2.42
3/4/2025,3112.83,3134.16,3168.04,3054.19,-0.66
2/4/2025,3133.57,3111,3140.36,3104.81,0.74
1/4/2025,3110.55,3123.36,3149.11,3100.85,-0.4
31-03-2025,3123.05,3086.54,3128.29,3076.62,1.27
28-03-2025,3084.03,3056.35,3086.93,3053.91,0.91
27-03-2025,3056.1,3019.56,3059.75,3017.26,1.22
26-03-2025,3019.29,3020.13,3032.23,3012.38,-0.02
25-03-2025,3019.85,3012.4,3035.94,3007.53,0.25
24-03-2025,3012.27,3023.03,3033.44,3002.34,-0.38
21-03-2025,3023.63,3042.6,3047.66,2999.46,-0.68
20-03-2025,3044.41,3046.31,3057.51,3025.56,-0.09
19-03-2025,3047.18,3032.2,3052.3,3022.73,0.44
18-03-2025,3033.95,2999.11,3038.45,2999.11,1.08
17-03-2025,3001.47,2985.8,3002.23,2982.13,0.57
